match_id,alt_m,boundary_m,pitch_type,temp_c,humidity,wind_kmh,precip_mm,dew_score,is_summer
1254085,216,65,1,39.0,33.0,31.2,0.3,0.0,1
1254086,53,80,1,39.3,33.0,24.9,0.0,0.0,1
1254104,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254087,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254111,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254105,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254096,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254113,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254097,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254107,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254108,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254098,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254100,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254099,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254092,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254103,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254091,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254102,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254089,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254112,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254109,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254090,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254110,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254093,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254095,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254106,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254094,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254101,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254088,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254114,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254115,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254116,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1254117,200,70,1,28.0,60.0,12.0,0.0,0.1,0
1304047,14,68,1,31.3,79.0,24.8,0.0,0.58,1
